trackName,artistName,explicit,popularity,id
Say It (feat. Tove Lo),Flume,1,62,5aOpzm8W8zysk4asB9hxJw
Freudian,Daniel Caesar,1,54,4nESnAOALHmxg8UFCCtXhO
Feel Good (feat. Daya),Gryffin,0,72,0Ev562zA4pmUsBqjxsxxdx
Never Be Like You (feat. Kai),Flume,1,68,5WI2ltQIdwgzf1SNE76JyR
Get You (feat. Kali Uchis),Daniel Caesar,0,76,7zFXmv6vqI4qOt4yGf3jYZ
Yellow (feat. Bekon),Rich Brian,1,58,3PPAFAhNAvJYs74JnujgGq
Take a Chance (feat Little Dragon),Flume,0,49,44dFOGFKVgNrx6UilTRVfZ
Say It - Illenium Remix,Flume,1,61,1wfZdPy5FRWsdWaAEOG0Ml
You Better Move,Lil Uzi Vert,1,80,6YAxCn4juTWn5hWl2hzHGw
Indigo,88rising,0,68,349Wc5mDu52d4Uv8Eg9WZv
La Lune (feat. Dan Smith),Madeon,0,50,1UCDE2UIE5cC6B1o0nsrSv
Transform (feat. Charlotte Day Wilson),Daniel Caesar,0,57,1jQfgl9WRle7D8a3GXLwaD
Electric (feat. Khalid),Alina Baraz,0,71,2mj7x99sNUsVHPBRK51zlG
She Don't (feat. Ty Dolla $Ign),Ella Mai,1,72,01JPQ87UHeGysPVwTqMJHK
The Weekend,SZA,1,74,6gU9OKjOE7ghfEd55oRO57
Just For A Moment (feat. Iselin),Gryffin,0,63,24FFOpCA6bc5YoU2F3TKqS
All My Friends,Madeon,0,57,3ArdPRbscsYB2uI70AzpuG
3005,Childish Gambino,1,73,2ZltjIqztEpZtafc8w0I9t
90210 (feat. Kacy Hill),Travis Scott,1,73,51EC3I1nQXpec4gDk0mQyP
Belong to You (feat. 6LACK),Sabrina Claudio,0,68,2I88NEWpKrAPZuapXNV5G6
Floating (feat. Khalid),Alina Baraz,0,71,2vLWF4yFhTHQZVwrPTjH1s
Bye Bye (feat. Ivy Adara),Gryffin,0,62,676eXXtx6I7yxaDfXvMpjK
Feels Like Summer,Childish Gambino,0,70,7p4vHnYXkxlzvfePJVpcTr
Summertime Magic,Childish Gambino,0,69,4j3GWI86JvSaF0BLdmgcfF
Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),Dreamville,1,67,7wTA0NKIm6T7nP2kaymU2a
Ultimate,Denzel Curry,1,66,6R0GRYk2vs2XuBVemYK5YZ
Oh My Dis Side (feat. Quavo),Travis Scott,1,65,2rMFawCg4BW65jzbwztXAV
I Wanna Know,RL Grime,0,63,4ToogKQq58R9TvO40qRuxi
Trip,Ella Mai,0,76,6CTWathupIiDs7U4InHnDA
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville,1,72,36J0iaPDGbYGsHvYpaYs3k
Tie Me Down (with Elley Duhé),Gryffin,0,69,4QVS8YCpK71R4FsxSMCjhP
Blessed,Daniel Caesar,0,65,0KyzXQhY2yzcb1FYCHkZc2
"West Coast (feat. Blueface, ALLBLACK & YG)",G-Eazy,1,65,4EnEGf9JzAJhF1XNY9DJcD
We Find Love,Daniel Caesar,0,68,1TPLsNVlofwX1txcE9gZZF
Ultimate $uicide,$uicideBoy$,1,59,4aRqS4w0qWT56NU75UeLYp
Chilly,NIKI,1,64,6H3TW6uEe3RxW8CcnXJfq2
Boo'd Up,Ella Mai,0,73,0At2qAoaVjIwWNAqrscXli
Trippy (feat. J. Cole),Anderson .Paak,1,65,2lRe5wBRm4xaSKTbDn2vLD
UP THE SMOKE (with Offset),Stunna 4 Vegas,1,78,3faAAUxohrxqYhPlneZ3XV
Hold Me Down,Daniel Caesar,0,64,1Mza2sr6tPhy6jjI3HB9fW
High Beams,Flume,0,56,5JivFvyCCaznVexlRLpZqK
Only Child,Tierra Whack,1,64,4zMmqb0pYwX6b0qc0slCoT
Sober,Childish Gambino,0,72,5NhlpQ6BOIz3S5welptk1W
Good Night,Denzel Curry,1,52,6bcnokzOVQxpn0quzHj6vc
"Jesus Forgive Me, I Am A Thot",JPEGMAFIA,1,57,4odoLyHnSx2jIcXs16IvsV
Love Galore (feat. Travis Scott),SZA,1,76,0q75NwOoFiARAVp4EXU4Bs
Without Me - ILLENIUM Remix,Halsey,1,64,4bw3ZyWA1ui0Adu285NWDl
Take Me Away (feat. Syd),Daniel Caesar,1,60,3E895HtTn6lB40SA0l9EkL
I. The Worst Guys,Childish Gambino,1,62,17wxjHNmOSstc6nVIe401T
Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,1,65,3xby7fOyqmeON8jsnom0AT
Under,Mac Ayres,0,57,0PZRlp2wrQDausamlangtw
Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,1,75,6MF4tRr5lU8qok8IKaFOBE
death bed (feat. beabadoobee),Powfu,0,91,7eJMfftS33KTjuF7lTsMCx
See You Again (feat. Kali Uchis),"Tyler, The Creator",1,78,7KA4W4McWYRpgf0fWsJZWB
BUSY / SIRENS,Saba,1,60,4YdRnTnXYwgI48kkzWy6uk
The City,Madeon,0,48,36HA2woC1glnLa4vqWY3IC
Joke Ting (feat. Ari PenSmith),GoldLink,1,57,6Ic2MP2hzoBLe3r1VIle8J
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,1,73,6TaqooOXAEcijL6G1AWS2K
Dream Dream Dream,Madeon,0,54,5FAFRyxvtiFzPTsKmfXudD
Maria I'm Drunk (feat. Justin Bieber & Young Thug),Travis Scott,1,68,6Yqmv7XJLCrQEauMbPGZSw
Undo - AWAY Remix,RL Grime,1,59,49v7kRlVxnwrrJzCRxeRXl
Feel Free,RL Grime,0,47,2GZRWUJStKnmg7ApolaicZ
You and Me,Shallou,0,55,2RuOeqFMhuYLVGbgGPQx2l
Love Incredible (feat. Camila Cabello),Cashmere Cat,0,55,6tLJ4T7PJPekOrQuSWuL0L
CAROLMART FEAT. ICE BILLION BERG,Denzel Curry,1,52,5OO7ybh0GQlXslHX4U4Vgr
Self Care,Mac Miller,1,77,5bJ1DrEM4hNCafcDd1oxHx
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville,1,74,5WnfnSpuNEGXyEt78PBA6d
Wild Irish Roses,Smino,1,65,6efkcs2aUBMFKxl0cl2JWQ
IV. Sweatpants,Childish Gambino,1,71,00GOPLxW4PGQuUYdPJh8K1
Strangers,Seven Lions,0,57,2U0pVx4m1Kdm1Gsjjm6iq8
Spring,Flume,0,49,7CGeuhEwxg4edNO5eLLCxm
Shoota (feat. Lil Uzi Vert),Playboi Carti,1,76,2BJSMvOGABRxokHKB0OI8i
Loose,Daniel Caesar,0,59,59acp1OhcvxwVBwQJBYKuX
Long Time - Intro,Playboi Carti,1,71,4IO2X2YoXoUMv0M2rwomLC
3500 (feat. Future & 2 Chainz),Travis Scott,1,67,1SGt65i9AnXYdDQt1AtDRH
STARGAZING,Travis Scott,1,78,7wBJfHzpfI3032CSD7CE2m
CYANIDE,Daniel Caesar,1,71,3uouaAVXpQR3X8RYkJyitQ
"Thotiana (feat. Cardi B, YG) [Remix]",Blueface,1,66,1JkrD47SDpAbyvqKtolcea
Sad Machine,Porter Robinson,0,61,1JY6B9ILvmRla2IKKRZvnH
The Boys Are Back In Town,Yung Gravy,1,67,4Mqfhqtb5WmondLWYsCCrz
IF YOU PRAY RIGHT,BROCKHAMPTON,1,63,56IGGA6VwAbIni6KoN7VC5
