trackName,artistName,msPlayed,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,plays
Say It (feat. Tove Lo),Flume,15502360,5aOpzm8W8zysk4asB9hxJw,0.598,0.532,3,-6.833,0,0.0295,0.0668,3.22e-06,0.0617,0.261,74.963,262521,4,59.05188537297968
Freudian,Daniel Caesar,11709180,4nESnAOALHmxg8UFCCtXhO,0.355,0.298,8,-12.277,1,0.0581,0.31,0.00266,0.185,0.0714,115.823,602297,3,19.44087385459333
Feel Good (feat. Daya),Gryffin,10724803,0Ev562zA4pmUsBqjxsxxdx,0.625,0.707,2,-4.761,1,0.0337,0.22,0.0,0.213,0.479,138.064,248156,4,43.217987878592496
Never Be Like You (feat. Kai),Flume,8174487,5WI2ltQIdwgzf1SNE76JyR,0.444,0.557,0,-5.476,1,0.0602,0.453,0.0,0.152,0.296,115.058,234910,4,34.798378102251924
Get You (feat. Kali Uchis),Daniel Caesar,7469173,7zFXmv6vqI4qOt4yGf3jYZ,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,278180,4,26.85014379178949
Yellow (feat. Bekon),Rich Brian,6413750,3PPAFAhNAvJYs74JnujgGq,0.447,0.53,0,-5.028,1,0.028,0.217,4.25e-05,0.351,0.0621,75.917,291870,4,21.97468050844554
Take a Chance (feat Little Dragon),Flume,6313293,44dFOGFKVgNrx6UilTRVfZ,0.401,0.51,11,-6.284,1,0.0785,0.343,0.000225,0.151,0.348,139.888,328631,4,19.210886982664448
Say It - Illenium Remix,Flume,5843404,1wfZdPy5FRWsdWaAEOG0Ml,0.482,0.769,6,-4.473,1,0.0549,0.0343,0.00498,0.0953,0.427,149.69,267200,4,21.869026946107784
La Lune (feat. Dan Smith),Madeon,5519516,1UCDE2UIE5cC6B1o0nsrSv,0.46,0.736,9,-3.039,1,0.0303,0.0558,6.68e-06,0.216,0.253,139.905,219840,4,25.106968704512372
Transform (feat. Charlotte Day Wilson),Daniel Caesar,5471362,1jQfgl9WRle7D8a3GXLwaD,0.498,0.292,5,-10.656,1,0.031,0.511,1.9e-05,0.256,0.348,68.963,280587,4,19.49969884563433
Electric (feat. Khalid),Alina Baraz,5414409,2mj7x99sNUsVHPBRK51zlG,0.599,0.396,10,-10.489,0,0.0392,0.738,2.19e-05,0.102,0.134,111.072,246327,4,21.98057460205337
