,trackName,artistName,id
0,Say It (feat. Tove Lo),Flume,5aOpzm8W8zysk4asB9hxJw
0,Freudian,Daniel Caesar,4nESnAOALHmxg8UFCCtXhO
0,Feel Good (feat. Daya),Gryffin,0Ev562zA4pmUsBqjxsxxdx
0,Never Be Like You (feat. Kai),Flume,5WI2ltQIdwgzf1SNE76JyR
0,Get You (feat. Kali Uchis),Daniel Caesar,7zFXmv6vqI4qOt4yGf3jYZ
0,Yellow (feat. Bekon),Rich Brian,3PPAFAhNAvJYs74JnujgGq
0,Take a Chance (feat Little Dragon),Flume,44dFOGFKVgNrx6UilTRVfZ
0,Say It - Illenium Remix,Flume,1wfZdPy5FRWsdWaAEOG0Ml
0,You Better Move,Lil Uzi Vert,6YAxCn4juTWn5hWl2hzHGw
0,Indigo,Chris Brown,6ZOXF7nbzCpPVNlC0AG1rF
0,La Lune (feat. Dan Smith),Madeon,1UCDE2UIE5cC6B1o0nsrSv
0,Transform (feat. Charlotte Day Wilson),Daniel Caesar,1jQfgl9WRle7D8a3GXLwaD
0,Electric (feat. Khalid),Alina Baraz,2mj7x99sNUsVHPBRK51zlG
0,She Don't (feat. Ty Dolla $Ign),Ella Mai,01JPQ87UHeGysPVwTqMJHK
0,The Weekend,SZA,6gU9OKjOE7ghfEd55oRO57
0,Just For A Moment (feat. Iselin),Gryffin,24FFOpCA6bc5YoU2F3TKqS
0,All My Friends,AJ Mitchell,5Xq7KPZSONkhHx6DFTAbTz
0,3005,Childish Gambino,2ZltjIqztEpZtafc8w0I9t
0,90210 (feat. Kacy Hill),Travis Scott,51EC3I1nQXpec4gDk0mQyP
0,Belong to You (feat. 6LACK),Sabrina Claudio,2I88NEWpKrAPZuapXNV5G6
0,Floating (feat. Khalid),Alina Baraz,2vLWF4yFhTHQZVwrPTjH1s
0,Bye Bye (feat. Ivy Adara),Gryffin,676eXXtx6I7yxaDfXvMpjK
0,Feels Like Summer,Childish Gambino,7p4vHnYXkxlzvfePJVpcTr
0,Summertime Magic,Childish Gambino,4j3GWI86JvSaF0BLdmgcfF
0,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),Dreamville,7wTA0NKIm6T7nP2kaymU2a
0,Ultralight Beam,Kanye West,1eQBEelI2NCy7AUTerX0KS
0,Oh My Dis Side (feat. Quavo),Travis Scott,2rMFawCg4BW65jzbwztXAV
0,Do I Wanna Know?,Arctic Monkeys,5FVd6KXrgO9B3JPmC8OPst
0,Fuck Love (feat. Trippie Redd),XXXTENTACION,7AQim7LbvFVZJE3O8TYgf2
0,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville,36J0iaPDGbYGsHvYpaYs3k
0,Tie Me Down (with Elley Duhé),Gryffin,4QVS8YCpK71R4FsxSMCjhP
0,Blessed,Thomas Rhett,3hhSnbFhuGnXieFa1ql61R
0,"West Coast (feat. Blueface, ALLBLACK & YG)",G-Eazy,4EnEGf9JzAJhF1XNY9DJcD
0,We Find Love,Daniel Caesar,1TPLsNVlofwX1txcE9gZZF
0,Ultimate $uicide,$uicideBoy$,4aRqS4w0qWT56NU75UeLYp
0,Chilly,NIKI,6H3TW6uEe3RxW8CcnXJfq2
0,Boo'd Up,Ella Mai,0At2qAoaVjIwWNAqrscXli
0,Trippy (feat. J. Cole),Anderson .Paak,2lRe5wBRm4xaSKTbDn2vLD
0,UP THE SMOKE (with Offset),Stunna 4 Vegas,3faAAUxohrxqYhPlneZ3XV
0,Hold Me Down,Daniel Caesar,1Mza2sr6tPhy6jjI3HB9fW
0,High Beams,Flume,5JivFvyCCaznVexlRLpZqK
0,Only Child,Tierra Whack,4zMmqb0pYwX6b0qc0slCoT
0,Sober,Childish Gambino,5NhlpQ6BOIz3S5welptk1W
0,Good Nights (feat. Mascolo),Whethan,08Kj0lvbsqAxzeUOBYZRL6
0,"Jesus Forgive Me, I Am A Thot",JPEGMAFIA,4odoLyHnSx2jIcXs16IvsV
0,Love Galore (feat. Travis Scott),SZA,0q75NwOoFiARAVp4EXU4Bs
0,Without Me - ILLENIUM Remix,Halsey,4bw3ZyWA1ui0Adu285NWDl
0,Take Me Away (feat. Syd),Daniel Caesar,3E895HtTn6lB40SA0l9EkL
0,I. The Worst Guys,Childish Gambino,17wxjHNmOSstc6nVIe401T
0,Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,3xby7fOyqmeON8jsnom0AT
0,Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,6MF4tRr5lU8qok8IKaFOBE
0,Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,6MF4tRr5lU8qok8IKaFOBE
0,death bed (feat. beabadoobee),Powfu,7eJMfftS33KTjuF7lTsMCx
0,See You Again (feat. Kali Uchis),"Tyler, The Creator",7KA4W4McWYRpgf0fWsJZWB
0,BUSY / SIRENS,Saba,4YdRnTnXYwgI48kkzWy6uk
0,Tears of the City,Shaman,50CgKxfyJhZZFMTfbYBE6E
0,Joke Ting (feat. Ari PenSmith),GoldLink,6Ic2MP2hzoBLe3r1VIle8J
0,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,6TaqooOXAEcijL6G1AWS2K
0,Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR
0,Maria I'm Drunk (feat. Justin Bieber & Young Thug),Travis Scott,6Yqmv7XJLCrQEauMbPGZSw
0,Coming Undone,Korn,6p2liQLGoDaLXgND68bfVt
0,"How You Feel? (Freestyle) (feat. Lil Yachty, Danny Towers & Ski Mask The Slump God)",DJ Scheme,67cpn8ZBO7QU67jky8Fh47
0,Young Grizzley World (feat. A Boogie Wit Da Hoodie & YNW Melly),Tee Grizzley,2HsSzwrvvgiYSCdsYLiJWB
0,Love Incredible (feat. Camila Cabello),Cashmere Cat,6tLJ4T7PJPekOrQuSWuL0L
