trackName,artistName,msPlayed
Say It (feat. Tove Lo),Flume,15502360
Freudian,Daniel Caesar,11709180
Feel Good (feat. Daya),Gryffin,10724803
Never Be Like You (feat. Kai),Flume,8174487
Get You (feat. Kali Uchis),Daniel Caesar,7469173
Yellow (feat. Bekon),Rich Brian,6413750
Take a Chance (feat Little Dragon),Flume,6313293
Say It - Illenium Remix,Flume,5843404
You & Me - Flume Remix,Disclosure,5801231
Indigo,88rising,5583657
La Lune (feat. Dan Smith),Madeon,5519516
Transform (feat. Charlotte Day Wilson),Daniel Caesar,5471362
Electric (feat. Khalid),Alina Baraz,5414409
She Don't (feat. Ty Dolla $Ign),Ella Mai,5292356
The Weekend,SZA,5184686
Just For A Moment (feat. Iselin),Gryffin,5035895
All My Friends,Madeon,4899570
3005,Childish Gambino,4895802
90210 (feat. Kacy Hill),Travis Scott,4876165
Belong to You (feat. 6LACK),Sabrina Claudio,4865441
Floating (feat. Khalid),Alina Baraz,4821299
Bye Bye (feat. Ivy Adara),Gryffin,4813245
Feels Like Summer,Childish Gambino,4737271
Summertime Magic,Childish Gambino,4550785
Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),Dreamville,4350301
ULT,Denzel Curry,4313614
Oh My Dis Side (feat. Quavo),Travis Scott,4297849
I Wanna Know,RL Grime,4192526
Trip,Ella Mai,4161802
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville,4011751
Tie Me Down (with Elley Duhé),Gryffin,4009163
Blessed,Daniel Caesar,3985823
"West Coast (feat. Blueface, ALLBLACK & YG)",G-Eazy,3985169
We Find Love,Daniel Caesar,3841129
Ultimate $uicide,$uicideBoy$,3763866
Chilly,NIKI,3722448
Boo'd Up,Ella Mai,3619383
Trippy (feat. J. Cole),Anderson .Paak,3600900
Smoke & Retribution (feat. Vince Staples & Kučka),Flume,3567375
Hold Me Down,Daniel Caesar,3566412
High Beams,Flume,3523064
Only Child,Tierra Whack,3518178
Sober,Childish Gambino,3517510
Good Night,Denzel Curry,3468321
"Jesus Forgive Me, I Am A Thot",JPEGMAFIA,3431767
Love Galore (feat. Travis Scott),SZA,3367789
Without Me - ILLENIUM Remix,Halsey,3359512
Take Me Away (feat. Syd),Daniel Caesar,3349370
I. The Worst Guys,Childish Gambino,3308949
Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,3269781
Under,Mac Ayres,3268798
Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,3234720
Death & Taxes,Daniel Caesar,3227122
See You Again,"Tyler, The Creator",3224919
BUSY / SIRENS,Saba,3214658
The City,Madeon,3182966
Joke Ting (feat. Ari PenSmith),GoldLink,3172921
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,3166257
Dream Dream Dream,Madeon,3134633
